MAE_pred_set,RMSE_pred_set,baseline_method,baseline_proportion,k,mae_baseline_avg,mae_item_baseline_avg,rmse_baseline_avg,rmse_item_baseline_avg,similarity_measure
2.4674580097718146,8.668088216628187,item_average,0.9464124038026256,1,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,euclidian
2.4398578027078215,8.669428510354395,item_average,0.8340878225441376,1,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,pearson
2.4310432089968104,8.670792240828224,item_average,0.8203938433680399,1,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine
2.436064383515667,8.72101296525318,item_average,0.8587596197374378,1,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine_adjusted
2.4727265409440036,8.726747330315499,item_average,0.8965595291987325,2,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,euclidian
2.410898372735632,8.690899773306285,item_average,0.6708918062471707,2,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,pearson
2.4385847099145352,8.687475272116844,item_average,0.6909234947940245,2,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine
2.4356082123235256,8.752976961132935,item_average,0.7492643730194658,2,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine_adjusted
2.4856475755854297,8.756755025337476,item_average,0.8519126301493889,3,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,euclidian
2.4350864574043536,8.703400164009695,item_average,0.5694884563150747,3,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,pearson
2.437198243879416,8.689353014952578,item_average,0.576052512449072,3,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine
2.4028235577886496,8.712859532050441,item_average,0.6657990040742418,3,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine_adjusted
2.4878034617088853,8.763228910825747,item_average,0.8073223177908556,4,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,euclidian
2.434338398415937,8.791622280889484,item_average,0.4908895427795383,4,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,pearson
2.4205152948808997,8.734924418507985,item_average,0.498585332729742,4,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine
2.3885360393546358,8.761475778358585,item_average,0.5978383884110458,4,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine_adjusted
2.484410461041071,8.77031250033213,item_average,0.7701448619284744,5,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,euclidian
2.4828721867386814,8.904644652353156,item_average,0.43888637392485286,5,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,pearson
2.4438429476685664,8.839624242001937,item_average,0.43747170665459484,5,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine
2.3724230114704956,8.798077115093081,item_average,0.5386487098234495,5,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine_adjusted
2.4972093053871522,8.791206831249376,item_average,0.7315527387958353,6,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,euclidian
2.466716207017539,8.919406876666082,item_average,0.39452240832956087,6,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,pearson
2.422606241879947,8.835677358999513,item_average,0.38756224535989137,6,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine
2.355721430636598,8.762840739406156,item_average,0.48585332729741965,6,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine_adjusted
2.493214449460534,8.789015891160265,item_average,0.6951674966047986,7,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,euclidian
2.4466943975617643,8.917912713657074,item_average,0.34964916251697603,7,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,pearson
2.413184501150744,8.85504047135811,item_average,0.34970574920778635,7,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine
2.3405391947020693,8.760110196825572,item_average,0.44330013580805794,7,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine_adjusted
2.4923401660188946,8.799937018077179,item_average,0.6640448166591217,8,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,euclidian
2.4345975715327888,8.914002206283818,item_average,0.31643277501131734,8,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,pearson
2.3892688739727945,8.825155562109254,item_average,0.3191489361702128,8,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine
2.3282475782206755,8.754810767092952,item_average,0.40125622453598914,8,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine_adjusted
2.489356389483905,8.804523567222907,item_average,0.6352987777274784,9,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,euclidian
2.421777721238585,8.869751758921879,item_average,0.28581937528293344,9,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,pearson
2.3647109169820753,8.784975289818542,item_average,0.2939112720688094,9,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine
2.3269563244147062,8.74931713389082,item_average,0.37064282480760524,9,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine_adjusted
2.4915767187902156,8.813611057481621,item_average,0.6056473517428701,10,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,euclidian
2.410343901681922,8.854521873798944,item_average,0.2632412856496152,10,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,pearson
2.358459999921146,8.776790141326076,item_average,0.27133318243549115,10,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine
2.3001854305104166,8.727099369859031,item_average,0.34551833408782257,10,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine_adjusted
2.4881423135290808,8.814920512826628,item_average,0.5789384336803983,11,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,euclidian
2.393796550611031,8.824183773894582,item_average,0.24383205070167496,11,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,pearson
2.351349743186106,8.774363346771286,item_average,0.2520937075599819,11,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine
2.3023593899106123,8.727164131814895,item_average,0.3210728836577637,11,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,cosine_adjusted
2.4897258385529,8.823866612835843,item_average,0.5468537799909461,12,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,euclidian
2.382455282179937,8.810443377734694,item_average,0.22634676324128564,12,2.5530374523952766,2.4584330817591846,8.717927983589837,8.626278409768679,pearson
